Sr_No.,Lawyer_name,Practice_area,Firm_name,Firm_size,Target_audience,Designation,Years_of_Experience,Total_cases,Successful_cases,Affiliation,Client_reviews,Nominal_fees_per_hearing,Bar_Council_ID
106,Sunita Kadam,Corporate Lawyer,Titus & Co,228,Startups,Managing Partner,22,588,483,Bar Council of India,Consistently high-quality service and reliable support. | Exceptional at handling complex legal issues. | Great strategic thinking and problem-solving skills.,2705480,NB/UP/2002/72652
107,Aakash Kulkarni,Constitutional Lawyer,Anhad Law,140,Government Bodies,In-House Counsel,9,129,123,High Court,Committed and dedicated. Helped me navigate the legal system effectively. | Exceptional service with a strong focus on client needs. | Clear communication and prompt responses. Highly recommend.,244083,NB/DL/2015/13242
108,Suresh Kapoor,Military Lawyer,Gopakumar Nair Associates,263,Veterans,Solicitor,7,139,104,District Court,Reliable and trustworthy. Delivered on their promises. | Provided excellent counsel and achieved excellent results. | Exceptional at handling complex legal issues.,680042,NB/HP/2017/91899
109,Amit Gupta,Securities Lawyer,Lakshmikumaran & Sridharan,479,Investors,Managing Partner,24,426,419,High Court,Very professional and handled my case with great expertise. | Supportive and empathetic. Always had my best interests in mind. | Very responsive and provided excellent legal counsel.,3540858,NB/TS/2000/84600
110,Rajesh Bhagat,Personal Injury Lawyer,Clifford Chance LLP,112,Accident Victims,Principal Associate,8,96,78,High Court,Failure to communicate important updates and changes. | Poorly handled legal negotiations and settlements. | Poor attention to detail led to errors in my case.,225242,NB/RJ/2016/51675
111,Sunita Reddy,Administrative Lawyer,AP & Partners,193,Government Agencies,Legal Advisor,7,133,121,High Court,Effective and result-oriented. Highly satisfied with the service. | Thorough preparation and outstanding legal advice. | Professional and reliable. Made the legal process smooth and manageable.,306747,NB/WB/2017/42354
112,Renu Agarwal,Personal Injury Lawyer,Law Offices of Panag & Babu,40,Injured Individuals,Advocate,1,15,10,District Court,Efficient handling of my case with a favorable result. | Caring and attentive to my needs. Very pleased with the outcome. | Proficient in handling legal matters with great care.,166741,NB/TS/2023/51120
113,Abhishek Singh,Bankruptcy Lawyer,S&R Associates,294,Businesses,Government Counsel,7,117,84,High Court,"Dedicated to their clients and achieved favorable outcomes. | Always available and attentive to my needs. | Professional, reliable, and easy to work with. Satisfied client.",97013,NB/TR/2017/46205
114,Dinesh Dubey,Administrative Lawyer,Juris Corp,20,Regulatory Bodies,Senior Associate,4,56,42,Bar Council of India,Great attention to detail and thorough in handling my case. | Outstanding client service and thorough legal representation. | Very professional and handled my case with great expertise.,139292,NB/UP/2020/97327
115,Rajesh Saxena,Banking and Finance Lawyer,LEGALLANDS LLP,184,Investors,Legal Advisor,5,113,86,Bar Council of India,Poor representation and lack of thorough case handling. | Unresponsive to critical client inquiries and concerns. | Failure to communicate important updates and changes.,200774,NB/HP/2019/23973
116,Arjun Yadav,Corporate Lawyer,Argus Partners,398,Corporations,Independent Legal Consultant,8,117,111,High Court,Great strategic thinking and problem-solving skills. | Professional demeanor and exceptional legal expertise. | Exceptional legal skills and always available to answer questions.,179034,NB/TR/2016/68174
117,Suman Nair,Banking and Finance Lawyer,Remfry & Sagar,166,Investors,Junior Associate / Associate,0,37,34,Bar Council of India,Did not provide adequate representation and support. | Disorganized and failed to meet case requirements. | Unprofessional behavior and missed important deadlines.,52799,NB/CG/2024/31033
118,Amit Iyer,Immigration Lawyer,Pioneer Legal,416,Corporations,Legal Aid Lawyer,2,16,12,High Court,Inconsistent with follow-ups and overall handling. | Overpromised and underdelivered. Disappointed with the service. | Unacceptable delays and lack of proper follow-up.,55153,NB/RJ/2022/81730
119,Sanjay Gupta,Corporate Lawyer,Tuli & Co,52,Corporations,Government Counsel,6,130,109,Supreme Court of India,"Did not provide adequate representation and support. | Felt like just another case, not a priority. | Inadequate preparation and subpar legal advice.",144631,NB/TS/2018/13801
120,Rashmi Singh,Real Estate Lawyer,Agama Law Associates,19,Landlords,Principal Associate,7,93,73,Supreme Court of India,Did not provide adequate representation and support. | Failure to communicate important updates and changes. | Failure to provide effective legal representation.,210350,NB/OR/2017/51212
121,Rajesh Saxena,Bankruptcy Lawyer,Kachwaha & Partners,423,Businesses,Managing Associate,12,241,235,District Court,Committed and dedicated. Helped me navigate the legal system effectively. | Provided excellent counsel and achieved excellent results. | Very professional and handled my case with great expertise.,347949,NB/TR/2012/57040
122,Anjali Dubey,Entertainment Lawyer,ASP ADVOCATES,98,Artists,Of Counsel,12,308,248,High Court,Unreliable and frequently missed critical meetings. | Failure to communicate important updates and changes. | Poor attention to detail led to errors in my case.,458980,NB/BCT/2012/16277
123,Rashmi Chaudhary,Bankruptcy Lawyer,Sidley Austin LLP,236,Individuals,Managing Associate,8,193,184,Bar Council of India,Proactive and strategic. Achieved a favorable outcome. | Empathetic and understanding. Made me feel valued. | Highly knowledgeable and provided excellent advice throughout.,347134,NB/WB/2016/80395
124,Rashmi Nair,Elder Lawyer,R. K. Dewan & Co.,64,Senior Citizens,Managing Partner,15,531,386,District Court,Provided excellent counsel and achieved excellent results. | Exceptional negotiation skills. Secured a great deal for me. | Always available and attentive to my needs.,4052436,NB/KL/2009/56580
125,Swati Agarwal,Health Lawyer,Zeus Law Associates,498,Hospitals,Government Counsel,5,179,125,Supreme Court of India,Confident and competent. I felt secure with their representation. | Trustworthy and results-oriented. I felt well-represented. | Top-notch service. Went above and beyond to ensure a positive result.,81055,NB/OR/2019/82187
126,Anand Bhat,Elder Lawyer,Agama Law Associates,73,Senior Citizens,Legal Aid Lawyer,2,19,13,Bar Council of India,Thorough preparation and outstanding legal advice. | Proactive and strategic. Achieved a favorable outcome. | Proficient in handling legal matters with great care.,43454,NB/BCT/2022/63792
127,Sameer Shetty,Bankruptcy Lawyer,Majmudar & Partners,41,Debtors,Managing Partner,23,565,457,Supreme Court of India,Skilled and effective. Managed my case with precision and care. | Confident and competent. I felt secure with their representation. | Clear communication and prompt responses. Highly recommend.,3315989,NB/TR/2001/90763
128,Siddharth Sharma,Health Lawyer,Khaitan & Co.,75,Healthcare Providers,In-House Counsel,7,162,130,Bar Council of India,Provided excellent counsel and achieved excellent results. | Efficient and effective. Made a complex process straightforward. | Exceptional at handling complex legal issues.,590534,NB/TS/2017/22451
129,Sanjay Das,Business Lawyer,Dhaval Vussonji & Partners,173,Small Businesses,Managing Partner,15,589,550,District Court,Limited understanding of my case and its complexities. | Did not demonstrate adequate legal knowledge. | Failure to communicate important updates and changes.,1239144,NB/KAR/2009/75579
130,Anita Joshi,Civil Rights Lawyer,Solomon & Co. Advocates & Solicitors,380,Civil Rights Organizations,Junior Associate / Associate,0,35,31,District Court,Unacceptable level of service and attention. | Inconsistent with follow-ups and overall handling. | Disappointing experience with slow progress and poor outcomes.,78541,NB/KL/2024/96463
131,Anita Pandey,Sports Lawyer,Kochhar & Co.,221,Athletes,Of Counsel,11,309,263,Bar Council of India,Very professional and handled my case with great expertise. | Professional and reliable. Made the legal process smooth and manageable. | Skilled and effective. Managed my case with precision and care.,460968,NB/OR/2013/96040
132,Sneha Gupta,Real Estate Lawyer,Dhaval Vussonji & Partners,1,Property Buyers,Counsel,9,221,181,Bar Council of India,Great advocate. Got me the best possible result in my case. | Professional demeanor and exceptional legal expertise. | Committed and dedicated. Helped me navigate the legal system effectively.,347030,NB/MAH/2015/65450
133,Ayesha Agarwal,Corporate Lawyer,Tuli & Co,151,Business Executives,Legal Advisor,5,162,148,Bar Council of India,Caring and attentive to my needs. Very pleased with the outcome. | Proactive and strategic. Achieved a favorable outcome. | Empathetic and understanding. Made me feel valued.,442904,NB/TN/2019/27358
134,Anirudh Singh,International Lawyer,Ashlar Law,265,NGOs,Of Counsel,15,279,222,District Court,Confident and competent. I felt secure with their representation. | Dedicated to their clients and achieved favorable outcomes. | Highly knowledgeable and provided excellent advice throughout.,379705,NB/CG/2009/85478
135,Sameer Bhagat,Civil Lawyer,Argus Partners,344,Property Owners,Principal Associate,8,85,68,Bar Council of India,Exceptional legal skills and always available to answer questions. | Outstanding client service and thorough legal representation. | Exceptional negotiation skills. Secured a great deal for me.,205066,NB/OR/2016/58170
136,Kunal Khan,Health Lawyer,Titus & Co,292,Patients,In-House Counsel,5,114,87,High Court,Exceptional negotiation skills. Secured a great deal for me. | Excellent communication and outstanding client care. | Professional approach and excellent outcome in my case.,352412,NB/G/2019/72219
137,Pooja Pandey,Intellectual Property Lawyer,Obhan & Associates,414,Companies,Managing Partner,20,581,461,Supreme Court of India,Mismanaged my case and provided inadequate support. | Provided incorrect information and poor advice. | Did not represent my interests effectively in court.,3017548,NB/JK/2004/61520
138,Divya Nair,Tax Lawyer,Mayer Brown,307,Individuals,Independent Legal Consultant,5,182,148,High Court,Very satisfied with the outcome and the service provided. | Professional demeanor and exceptional legal expertise. | Supportive and empathetic. Always had my best interests in mind.,186709,NB/WB/2019/17456
139,Anjali Verma,Municipal Lawyer,Solomon & Co. Advocates & Solicitors,96,City Councils,Counsel,11,220,170,District Court,Dedicated to their clients and achieved favorable outcomes. | Top-notch service. Went above and beyond to ensure a positive result. | Professional and reliable. Made the legal process smooth and manageable.,367098,NB/JK/2013/39790
140,Sanjay Sethi,Civil Lawyer,Morrison Foerster,247,Individuals,Managing Associate,11,175,122,District Court,Felt my case was not handled with enough urgency. | Not very responsive. I had to chase for updates. | Disorganized and failed to meet case requirements.,322010,NB/MP/2013/36870
141,Pooja Saxena,Education Lawyer,Saraf and Partners,376,Parents,Government Counsel,9,101,90,District Court,Experienced and skilled. Made me feel confident throughout. | Thorough and meticulous in every aspect of the case. | Provided excellent counsel and achieved excellent results.,76032,NB/TR/2015/34257
142,Sameer Nair,Constitutional Lawyer,Gravitas Legal,146,Individuals,Managing Partner,20,535,452,Bar Council of India,Trustworthy and results-oriented. I felt well-represented. | Great advocate. Got me the best possible result in my case. | Consistently high-quality service and reliable support.,4591541,NB/G/2004/89127
143,Naveen Kapoor,Administrative Lawyer,Saraf and Partners,76,Organizations,Junior Associate / Associate,0,24,24,High Court,Professional demeanor and exceptional legal expertise. | Very satisfied with the outcome and the service provided. | Very professional and handled my case with great expertise.,54330,NB/CG/2024/47657
144,Priya Basu,Entertainment Lawyer,Mayer Brown,485,Artists,In-House Counsel,8,106,85,Bar Council of India,Disorganized and failed to meet case requirements. | Made me feel undervalued and ignored my inputs. | Failed to provide clear explanations and advice.,599772,NB/TR/2016/85311
